TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H
2017-02-13 00:01:00;D;B;;;;;0;4.965;0.0;0;0;;0;0;0
2017-02-13 12:00:00;N;B;125;42;30;6;0;0;79.9;0;0;12.82;11;0;6.6
2017-02-14 12:00:00;N;B;130;53;30;21;0;0;78.8;225;4;12.35;23;0;13
2017-02-15 12:00:00;N;B;134;43;33;56;0;6.475;80.1;225;3;13.31;24;0;13
2017-02-15 13:00:00;A;B;135;12;34;8;0;6.475;80.0;202;3;11.7;1;0;1.2
2017-02-26 07:00:00;D;L;135;12;34;8;0;7.125;0.0;0;0;;0;0;0.1
2017-02-26 12:00:00;N;L;134;23;33;44;0;0;74.6;315;2;12.23;4;0;2
2017-02-27 12:00:00;N;L;131;4;31;7;270;0;71.9;270;5;9.77;24;0;10.2
2017-02-28 12:00:00;N;L;126;24;32;24;315;0;73.6;0;2;11.51;24;0;9.6
2017-03-01 12:00:00;N;L;125;21;36;53;0;5.65;73.8;315;1;11.78;24;0;9.5
2017-03-01 15:00:00;A;L;126;54;36;14;0;0;73.8;315;1;11.9;3;0;1.2
2017-03-11 18:10:00;D;L;126;54;36;14;0;6.99;0.0;0;0;;0;0;3.4
2017-03-12 12:00:00;N;L;124;22;34;19;0;0;68.3;45;1;11.42;14;0;5.5
2017-03-13 12:00:00;N;L;124;6;30;45;180;6.99;68.8;45;4;10.68;24;0;9.5
2017-03-14 12:00:00;N;L;122;0;26;59;180;6.99;68.9;22;4;11.11;24;0;9.6
2017-03-15 12:00:00;N;L;121;12;22;22;202;0;68.1;22;4;10.21;24;0;9.5
2017-03-16 12:00:00;N;L;118;6;19;40;157;0;68.3;22;4;10.04;24;0;9.5
2017-03-17 12:00:00;N;L;115;46;15;44;157;0;68.8;22;3;10.89;24;0;9.4
2017-03-18 12:00:00;N;L;112;10;12;37;135;0;68.8;45;2;11.32;25;0;10
2017-03-19 12:00:00;N;L;110;50;8;9;135;0;68.3;90;3;10.31;24;0;9.4
2017-03-20 12:00:00;N;L;107;26;5;5;225;0;69.0;90;2;11.48;24;0;9.5
2017-03-21 12:00:00;N;L;104;41;1;36;180;6.97;68.9;0;1;11.52;24;0;9.3
2017-03-21 15:30:00;A;L;104;17;1;14;270;6.97;61.7;0;1;9.71;3;30;1
2017-03-22 04:00:00;D;L;103;17;1;59;0;7.015;0.0;0;0;;0;0;0.5
2017-03-22 12:00:00;N;L;102;50;1;30;270;7.015;69.0;270;1;11.98;8;0;3.1
2017-03-23 12:00:00;N;L;99;52;4;2;0;0;68.9;270;1;11.6;24;0;9.4
2017-03-24 12:00:00;N;L;94;12;6;47;0;7.015;69.1;270;1;11.88;24;0;9.4
2017-03-25 12:00:00;N;L;90;26;3;46;247;7.015;69.0;270;1;11.73;25;0;9.7
2017-03-26 12:00:00;N;L;86;43;0;46;247;7.015;69.0;292;1;12.17;24;0;9.3
2017-03-27 12:00:00;N;L;83;51;1;1;247;7.015;69.1;270;2;11.39;24;0;9.4
2017-03-28 12:00:00;N;L;79;9;4;38;247;7.015;69.2;270;5;9.84;25;0;10
2017-03-29 12:00:00;N;L;76;32;6;10;247;7.015;69.1;270;2;10.54;24;0;9.6
2017-03-30 12:00:00;N;L;72;6;9;23;225;7.015;69.1;202;2;11.39;24;0;9.5
2017-03-31 12:00:00;N;L;68;44;11;28;225;7.015;69.2;135;2;11.73;24;0;9.4
2017-04-01 12:00:00;N;L;64;29;14;20;225;7.015;69.3;135;2;11.74;25;0;9.6
2017-04-02 12:00:00;N;L;60;10;17;16;225;7.015;69.1;180;2;11.95;24;0;9.4
2017-04-03 12:00:00;N;L;56;50;19;10;225;7.015;69.1;180;2;11.83;24;0;9.4
2017-04-04 12:00:00;N;L;51;32;22;56;225;7.015;69.3;180;2;11.47;25;0;9.7
2017-04-05 12:00:00;N;L;47;8;25;45;225;7.015;69.2;135;2;11.67;24;0;9.4
2017-04-06 12:00:00;N;L;42;37;27;49;225;7.015;69.3;180;2;12.75;24;0;9.4
2017-04-07 12:00:00;N;L;37;41;29;42;225;7.015;68.7;225;4;10.4;25;0;9.5
2017-04-08 12:00:00;N;L;33;24;31;26;247;7.015;69.1;225;4;10.16;24;0;9.3
2017-04-09 12:00:00;N;L;28;26;33;15;247;7.015;69.3;45;2;12.08;24;0;9.6
2017-04-10 12:00:00;N;L;22;45;34;45;270;7.015;69.2;315;2;12.0;24;0;9.6
2017-04-11 12:00:00;N;L;17;3;34;33;315;7.015;69.1;225;2;11.56;24;0;9.4
2017-04-12 12:00:00;N;L;14;11;30;9;315;7.015;69.2;270;2;11.57;25;0;9.5
2017-04-13 12:00:00;N;L;11;38;26;8;225;7.015;69.1;225;2;11.08;24;0;9.5
2017-04-14 12:00:00;N;L;8;14;23;20;315;7.015;69.0;90;3;10.63;24;0;9.5
2017-04-15 12:00:00;N;L;5;41;19;29;315;7.015;69.3;90;2;11.11;24;0;9.6
2017-04-16 12:00:00;N;L;2;20;16;51;315;7.015;69.1;0;2;10.47;24;0;9.4
2017-04-17 12:00:00;N;L;0;9;13;13;315;7.015;68.9;315;3;10.21;24;0;9.5
2017-04-18 12:00:00;N;L;2;53;9;25;315;7.015;68.8;315;3;10.38;24;0;9.6
2017-04-19 12:00:00;N;L;5;44;5;40;315;7.015;68.8;315;3;10.45;24;0;9.5
2017-04-20 12:00:00;N;L;8;29;2;18;315;6.89;68.7;180;3;10.5;24;0;9.4
2017-04-21 12:00:00;N;L;10;49;0;54;315;6.89;68.5;180;3;10.54;24;0;9.3
2017-04-22 12:00:00;N;L;13;4;4;27;315;6.89;68.4;225;3;10.33;24;0;9.3
2017-04-23 12:00:00;N;L;15;11;7;57;315;6.89;68.2;315;3;9.97;24;0;9.5
2017-04-24 12:00:00;N;L;18;22;10;28;315;6.89;68.3;315;3;10.12;24;0;9.4
2017-04-25 12:00:00;N;L;18;29;14;56;0;6.89;68.1;0;3;10.75;24;0;9.5
2017-04-26 12:00:00;N;L;18;51;18;50;0;6.89;69.8;0;2;11.29;24;0;9.8
2017-04-27 12:00:00;N;L;17;48;23;25;22;6.89;84.1;0;3;13.1;24;0;16
2017-04-28 12:00:00;N;L;13;4;28;29;337;6.89;87.1;225;2;14.13;24;0;17.8
2017-04-29 12:00:00;N;L;9;36;32;47;22;6.89;87.2;22;3;13.75;24;0;17.9
2017-04-30 10:00:00;A;L;5;58;35;28;90;6.9;85.2;45;2;13.8;22;0;15.9
2017-04-30 22:00:00;D;L;5;0;36;25;0;7.1;0.0;0;0;;0;0;2.1
2017-05-01 05:00:00;A;L;6;28;36;30;0;7.1;75.2;45;2;11.86;7;0;3.9
2017-05-05 15:00:00;D;L;6;30;36;20;0;6.37;0.0;0;0;;0;0;2.2
2017-05-06 12:00:00;N;L;9;31;38;48;315;6.37;75.3;292;5;11.43;21;0;11.1
2017-05-07 12:00:00;N;L;10;11;43;48;0;6.37;75.4;22;3;12.42;24;0;12.8
2017-05-08 12:00:00;N;L;10;1;48;57;0;6.375;75.9;45;3;12.21;24;0;12.9
2017-05-09 12:00:00;N;L;10;59;52;56;0;6.375;75.6;90;3;12.18;24;0;12.9
2017-05-10 12:00:00;N;L;8;26;57;14;0;6.375;74.8;337;4;11.92;24;0;12.6
2017-05-11 12:00:00;N;L;2;43;60;11;45;6.375;75.1;45;6;11.38;24;0;12.4
2017-05-12 06:00:00;A;L;4;43;61;6;90;6.38;79.9;90;5;11.02;18;0;11
2017-05-19 18:24:00;D;B;5;36;61;4;0;6.245;0.0;0;0;;0;0;0.7
2017-05-20 12:00:00;N;B;5;25;58;2;135;6.245;88.2;135;6;14.06;16;0;11.8
2017-05-21 09:30:00;A;B;12;16;56;5;180;6.245;88.4;315;5;14.18;21;30;15.4
2017-05-21 15:00:00;D;B;12;2;56;37;0;6.245;0.0;0;0;;0;0;2
2017-05-22 12:00:00;N;B;19;0;57;33;337;6.245;88.6;315;3;14.45;20;0;14.7
2017-05-23 12:00:00;N;B;27;10;60;52;90;6.375;88.3;225;5;14.25;24;0;17.7
2017-05-23 14:30:00;A;B;29;1;60;3;90;6.375;88.7;225;2;15.2;2;30;1.9
2017-05-29 22:30:00;D;L;30;55;59;14;0;0;0.0;0;0;;0;0;3.9
2017-05-30 12:00:00;N;L;23;39;59;21;247;9.05;87.8;180;2;14.2;13;30;10.1
2017-05-31 05:30:00;A;L;16;15;57;37;180;9.05;87.6;292;4;13.84;18;30;13.7
2017-06-09 01:00:00;D;L;16;15;57;26;0;9.79;0.0;0;0;;0;0;3.8
2017-06-09 12:00:00;N;L;15;47;55;38;247;9.65;87.9;157;2;14.18;11;0;8.2
2017-06-10 02:00:00;A;L;11;49;54;7;270;9.65;87.8;157;6;13.64;14;0;10.8
2017-06-10 10:00:00;D;L;11;40;55;5;0;9.65;0.0;0;0;;0;0;5.5
2017-06-10 12:00:00;N;L;11;18;56;24;22;9.65;87.6;202;5;13.85;2;0;1.5
2017-06-11 12:00:00;N;L;4;11;58;31;270;9.65;88.1;202;6;13.14;24;0;17.8
2017-06-12 12:00:00;N;L;5;44;58;38;0;9.765;88.8;270;4;12.89;25;0;18.7
2017-06-13 12:00:00;N;L;14;34;57;46;0;9.765;88.2;225;5;11.8;25;0;18.7
2017-06-14 12:00:00;N;L;21;56;55;36;247;9.765;85.5;225;8;10.21;24;0;18
2017-06-15 12:00:00;N;L;26;30;54;34;0;9.765;76.9;225;7;7.62;25;0;17
2017-06-16 12:00:00;N;L;33;12;52;13;225;9.765;86.7;202;7;11.45;24;0;18
2017-06-17 12:00:00;N;L;38;45;49;40;225;9.765;85.6;270;6;10.16;25;0;18.7
2017-06-18 12:00:00;N;L;44;26;46;18;225;9.765;87.8;270;4;12.5;24;0;18
2017-06-19 12:00:00;N;L;49;55;42;55;225;9.765;87.9;247;4;13.2;25;0;18.8
2017-06-20 12:00:00;N;L;56;49;40;1;225;9.735;87.6;247;5;12.53;24;0;18
2017-06-21 12:00:00;N;L;62;27;39;33;247;9.9;87.9;247;5;12.48;25;0;18.8
2017-06-22 12:00:00;N;L;69;12;38;11;247;9.9;87.9;247;4;13.17;24;0;18.2
2017-06-23 12:00:00;N;L;71;2;37;44;270;9.9;71.6;247;5;5.42;24;0;11
2017-06-24 06:00:00;A;L;76;16;39;35;0;9.9;89.1;270;6;11.06;18;0;13.5
2017-07-06 05:30:00;D;B;76;16;39;35;0;6.13;0.0;0;0;;0;0;15.9
2017-07-06 12:00:00;N;B;74;22;37;29;0;6.13;85.2;0;5;13.08;6;30;4.7
2017-07-06 18:00:00;A;B;73;41;38;54;0;6.18;86.4;0;4;14.0;6;0;2.8
2017-07-09 11:00:00;D;B;75;43;39;31;0;9.995;0.0;0;0;;0;0;6.8
2017-07-09 12:00:00;N;B;74;28;38;45;135;0;75.9;45;3;12.15;1;0;0.5
2017-07-10 12:00:00;N;L;68;58;38;38;90;0;76.8;135;3;12.13;24;0;13
2017-07-11 12:00:00;N;L;63;39;39;1;90;9.9;78.4;247;3;12.0;23;0;12.8
2017-07-12 12:00:00;N;L;57;33;40;23;67;9.9;77.8;225;6;11.61;23;0;12.4
2017-07-13 12:00:00;N;L;51;14;42;20;67;9.9;78.2;225;4;12.08;24;0;13.1
2017-07-14 12:00:00;N;L;45;30;43;22;67;9.9;79.1;225;6;11.87;23;0;12.5
2017-07-15 12:00:00;N;L;38;29;44;52;90;9.9;79.2;225;5;11.96;24;0;13.2
2017-07-16 12:00:00;N;L;32;5;45;25;90;9.9;79.1;180;4;12.04;23;0;12.6
2017-07-17 12:00:00;N;L;25;18;45;29;90;9.9;79.3;180;3;12.21;24;0;13.3
2017-07-18 12:00:00;N;L;18;7;45;49;90;9.9;79.2;292;2;12.26;23;0;12.8
2017-07-19 12:00:00;N;L;12;35;44;28;90;9.9;79.3;315;5;11.85;23;0;12.6
2017-07-20 11:00:00;A;L;5;35;43;56;67;9.9;79.1;67;3;12.04;23;0;12.5
2017-07-21 19:30:00;D;B;5;35;43;56;0;6.025;0.0;0;0;;0;0;1.6
2017-07-22 12:00:00;N;B;6;36;45;36;315;6.025;65.8;315;4;6.76;16;30;6.5
2017-07-23 12:00:00;N;B;4;18;49;14;90;0;77.9;315;5;10.75;24;0;12.9
2017-07-24 12:00:00;N;B;1;59;50;37;45;6.025;67.2;315;3;10.63;24;0;9.1
2017-07-24 15:00:00;A;B;3;6;51;44;45;6.35;80.1;0;3;12.5;3;0;1.3
2017-07-29 11:00:00;D;L;3;6;51;44;0;9.51;0.0;0;0;;0;0;9.4
2017-07-29 12:00:00;N;L;2;21;51;21;270;9.51;88.1;225;4;14.1;1;0;0.7
2017-07-30 12:00:00;N;L;4;14;49;54;;9.51;88.2;225;5;13.88;24;0;18.1
2017-07-31 12:00:00;N;L;8;54;44;55;202;9.51;88.0;225;5;13.88;24;0;18
2017-08-01 12:00:00;N;L;10;41;39;7;180;9.675;88.2;202;5;13.67;24;0;18
2017-08-02 12:00:00;N;L;6;59;35;41;112;9.675;88.3;135;4;13.63;24;0;18
2017-08-03 12:00:00;N;L;0;38;36;4;90;9.675;87.9;270;3;13.83;24;0;17.9
2017-08-04 12:00:00;N;L;6;23;37;59;90;9.675;88.1;270;2;14.03;24;0;18
2017-08-05 12:00:00;N;L;13;44;36;29;90;9.675;88.2;315;3;14.0;23;0;17.2
2017-08-06 12:00:00;N;L;20;20;36;22;90;9.675;87.8;315;3;14.0;24;0;17.9
2017-08-07 12:00:00;N;L;25;1;39;6;45;9.675;88.0;45;5;12.72;24;0;17.9
2017-08-07 17:00:00;A;L;26;9;40;24;67;9.675;88.1;45;4;14.04;5;0;3.8
2017-08-07 22:00:00;D;L;26;9;40;24;0;9.675;0.0;0;0;;0;0;3.3
2017-08-08 02:00:00;A;L;27;58;40;57;0;9.675;88.1;0;2;14.0;4;0;3
2017-08-12 10:40:00;D;B;27;58;40;57;0;6.175;0.0;0;0;;0;0;1.4
2017-08-12 12:00:00;N;B;28;47;40;15;90;6.175;88.0;270;3;13.5;1;20;1
2017-08-12 13:00:00;A;B;29;12;41;6;0;6.175;88.6;247;3;14.3;1;0;0.8
2017-08-14 21:12:00;D;B;29;0;41;0;0;6.175;0.0;0;0;;0;0;6.4
2017-08-15 12:00:00;N;B;31;37;42;49;67;6.175;63.0;45;4;9.86;14;48;5.2
2017-08-16 12:00:00;N;B;36;19;44;2;0;6.175;58.0;45;3;8.88;24;0;6.7
2017-08-16 21:00:00;A;B;36;5;45;39;0;6.175;39.0;45;3;5.08;9;0;1.8
2017-08-25 18:15:00;D;L;36;8;45;41;0;10.515;0.0;0;0;;0;0;2.2
2017-08-26 12:00:00;N;L;32;52;42;18;225;10.515;87.9;225;5;13.26;17;48;13.3
2017-08-26 23:00:00;A;L;29;0;41;0;180;10.53;88.9;135;2;15.18;11;0;8.2
2017-08-27 17:20:00;D;L;29;0;41;0;0;0;0.0;0;0;;0;0;3.8
2017-08-28 00:00:00;A;L;26;0;40;8;247;10.535;88.0;45;4;14.1;6;40;5.1
2017-08-28 04:20:00;D;L;26;1;40;7;0;10.55;0.0;0;0;;0;0;2.4
2017-08-28 12:00:00;N;L;25;32;38;23;202;10.535;87.9;225;4;13.7;7;40;5.7
2017-08-29 12:00:00;N;L;29;12;34;15;0;10.535;87.6;135;5;13.08;25;0;18.4
2017-08-30 04:00:00;A;L;32;15;31;19;135;10.465;87.8;315;2;13.63;16;0;11.9
2017-08-31 15:30:00;D;L;32;58;29;32;0;10.37;0.0;0;0;;0;0;5.4
2017-09-01 12:00:00;N;L;35;8;26;4;135;10.37;87.8;135;5;13.56;20;30;15.4
2017-09-02 12:00:00;N;L;37;41;21;58;157;10.37;87.4;180;4;13.67;24;0;17.9
2017-09-03 12:00:00;N;L;40;56;16;15;135;10.37;85.2;135;3;13.33;24;0;17.4
2017-09-04 12:00:00;N;L;43;34;12;23;0;10.37;88.1;45;3;13.58;24;0;18
2017-09-05 12:00:00;N;L;48;57;12;33;90;10.37;87.9;45;3;13.58;24;0;17.9
2017-09-06 12:00:00;N;L;53;15;14;27;135;10.37;87.9;135;5;13.09;23;0;17.2
2017-09-07 12:00:00;N;L;55;7;11;26;0;10.37;84.3;202;7;12.41;24;0;18
2017-09-08 12:00:00;N;L;53;18;7;32;225;10.37;85.1;225;7;10.67;24;0;18.1
2017-09-09 12:00:00;N;L;51;8;3;16;225;10.37;85.7;225;7;11.85;24;0;18
2017-09-10 12:00:00;N;L;48;45;0;32;225;10.37;86.9;225;7;11.75;24;0;18.1
2017-09-11 12:00:00;N;L;45;1;4;36;225;10.37;87.2;225;7;10.42;24;0;17.9
2017-09-12 12:00:00;N;L;41;48;5;20;202;10.37;86.7;202;7;11.6;24;0;17.9
2017-09-12 21:00:00;A;L;39;50;6;17;247;10.5;88.2;22;1;14.11;9;0;6.7
2017-09-19 14:20:00;D;L;39;50;6;17;0;6.29;0.0;0;0;;0;0;2.6
2017-09-19 16:40:00;A;L;39;9;6;11;0;6.29;87.9;90;2;14.19;2;20;2
2017-09-22 17:45:00;D;B;39;9;6;11;0;6.07;0.0;0;0;;0;0;2.2
2017-09-23 12:00:00;N;B;41;15;9;25;135;6.07;87.2;135;4;13.7;18;15;13.2
2017-09-24 12:00:00;N;B;41;41;13;59;180;6.07;85.1;180;4;13.6;24;0;17.3
2017-09-25 12:00:00;N;B;39;51;18;14;225;6.07;88.2;0;3;14.54;24;0;18.1
2017-09-26 12:00:00;N;B;36;5;24;40;202;6.075;86.9;180;4;13.6;25;0;18.2
2017-09-27 06:30:00;A;B;32;58;25;34;270;6.075;87.0;180;4;13.57;18;30;13.4
2017-10-14 14:00:00;D;L;32;58;25;34;0;9.9;0.0;0;0;;0;0;4.1
2017-10-15 12:00:00;N;L;38;47;25;7;90;9.9;88.6;45;5;13.27;22;0;16.5
2017-10-16 12:00:00;N;L;43;56;25;31;90;9.9;88.2;90;4;12.74;23;0;17.3
2017-10-17 12:00:00;N;L;48;21;24;42;225;9.9;88.1;45;6;13.33;24;0;18.1
2017-10-18 12:00:00;N;L;53;53;21;0;45;9.9;87.9;45;6;12.22;23;0;17.3
2017-10-19 08:00:00;A;L;57;9;20;29;90;9.9;87.7;45;3;13.6;20;0;15
2017-10-19 15:30:00;D;L;57;9;20;29;0;9.915;0.0;0;0;;0;0;1.3
2017-10-20 12:00:00;N;L;61;31;17;1;45;9.915;87.7;135;6;12.75;20;30;15.4
2017-10-21 12:00:00;N;L;64;48;14;33;45;9.9;86.6;45;6;10.91;23;0;17.8
2017-10-22 12:00:00;N;L;67;37;11;33;45;9.9;86.4;45;7;10.88;24;0;18.5
2017-10-23 12:00:00;N;L;71;8;9;12;45;9.9;86.3;45;7;10.96;24;0;18.1
2017-10-24 12:00:00;N;L;74;40;6;52;45;9.9;86.3;45;6;11.52;23;0;17.4
2017-10-25 12:00:00;N;L;79;47;3;17;45;9.9;87.4;270;3;13.51;24;0;18
2017-10-26 12:00:00;N;L;83;52;0;44;45;9.9;87.1;270;5;13.31;24;0;18
2017-10-27 12:00:00;N;L;92;53;4;31;45;9.9;87.6;45;5;13.52;23;0;17.3
2017-10-28 12:00:00;N;L;92;53;4;31;45;9.9;87.3;45;3;13.38;24;0;17.9
2017-10-29 12:00:00;N;L;96;42;5;56;45;9.9;88.6;45;5;12.61;23;0;17.3
2017-10-30 12:00:00;N;L;101;42;2;11;90;9.9;88.2;225;3;13.05;24;0;18
2017-10-31 02:00:00;A;L;103;15;1;47;90;9.95;87.4;135;3;13.6;14;0;10.6
2017-10-31 14:50:00;D;L;104;16;1;14;0;0;0.0;0;0;;0;0;3.5
2017-11-01 12:00:00;N;L;106;42;4;20;45;0;87.9;45;6;12.14;21;10;15.5
2017-11-02 12:00:00;N;L;108;5;8;49;270;0;83.9;90;6;10.92;24;0;16.7
2017-11-03 12:00:00;N;L;111;48;8;19;270;0;61.9;45;6;6.5;24;0;7.5
2017-11-04 12:00:00;N;L;111;41;11;47;337;0;73.5;135;5;9.04;24;0;13.1
2017-11-05 12:00:00;N;L;109;25;15;55;337;0;83.9;22;8;10.42;24;0;17.8
2017-11-06 12:00:00;N;L;108;39;18;7;315;0;86.2;22;6;9.17;24;0;17.2
2017-11-07 01:00:00;A;L;108;17;21;19;0;0;87.3;45;6;11.43;14;0;9.9
2017-11-10 03:00:00;D;L;108;36;21;19;0;6.78;0.0;0;0;;0;0;1.1
2017-11-10 03:45:00;A;L;108;22;21;42;0;0;86.0;0;3;13.33;0;45;0.7
2017-11-15 13:00:00;D;B;107;56;20;59;0;5.805;0.0;0;0;;0;0;2.9
2017-11-15 19:30:00;A;B;107;55;20;16;270;0;45.0;45;3;7.92;6;30;1.5
2017-11-22 03:00:00;D;L;107;41;20;15;0;10.42;0.0;0;0;;0;0;1.2
2017-11-22 12:00:00;N;L;107;57;18;58;157;0;86.3;45;6;12.56;9;0;6.9
2017-11-23 12:00:00;N;L;111;13;16;7;135;0;86.5;45;7;10.5;24;0;17.5
2017-11-24 12:00:00;N;L;114;6;15;18;112;0;86.3;45;7;9.25;24;0;17.9
2017-11-25 12:00:00;N;L;117;31;13;29;90;0;86.3;67;7;10.35;23;0;17.5
2017-11-26 12:00:00;N;L;121;44;11;8;157;0;85.0;45;6;10.92;24;0;17.9
2017-11-27 11:00:00;A;L;124;24;8;12;0;0;85.0;45;6;12.61;23;0;17.3
2017-12-14 21:00:00;D;B;124;22;8;13;0;6.23;0.0;0;0;;0;0;3.5
2017-12-15 12:00:00;N;B;121;22;10;49;337;0;88.0;45;6;13.27;15;0;10.4
2017-12-16 12:00:00;N;B;119;0;15;43;337;0;88.0;22;6;12.83;24;0;17.5
2017-12-17 12:00:00;N;B;120;54;17;19;22;0;80.0;22;8;7.5;24;0;16.4
