STARTING PORT,DESTINATION PORT,COUNT
DARDANELLES , BOSPHOROUS,32
BOSPHOROUS , DARDANELLES,30
TUAPSE , BOSPHOROUS,21
NOVOROSSIYSK , BOSPHOROUS,11
BOSPHOROUS , TUAPSE,11
ISTANBUL , BOSPHOROUS,10
BOSPHOROUS , ISTANBUL,9
DARDANELLES , BOZCAADA,8
BOSPHOROUS , NOVOROSSIYSK,6
DARDANELLES , LIMASSOL,5
PIRAEUS , DARDANELLES,5
BOZCAADA , DARDANELLES,5
DARDANALLES , DARDANELLES,5
DARDANELLES , GELIBOLU,5
LIMASSOL , DARDANELLES,5
DARDANELLES , PRIOLO,4
Tuapse , BOSPHOROUS,4
GELIBOLU , DARDANELLES,4
Dardanelles , S bound ,3
DARDANELLES , BOZCADA,3
DARDANELLES , ALIAGA,3
Istanbul , BOSPHOROUS,3
BOSPHOROUS , Tuapse,3
DARDANELLES , Dardanelles ,3
DARDANELLES , LAVERA,2
DARDANELLES , AT SEA,2
DARDANELLES , GIBRALTAR,2
AT SEA , SARROCH,2
CARTAGENA (SPA) ," Cartagena, Spain",2
OPL PORT SAID , ASHKELON,2
ASHKELON , OPL PORT SAID,2
AT SEA , DARDANELLES,2
BOZCA ADA , DARDANELLES,2
GIBRALTAR , ROTTERDAM,2
BOSPHOROUS , ISTANBUL N. BOUND,2
OPL GENOA , GENOA,2
MALTA OPL , MALTA,2
PRIOLO , PORTO MARGHERA,2
ASHKELON , AT SEA,2
DARDANELLES , TARRAGONA,2
TARRAGONA , SARROCH,2
LA GOULETTE , ZARZIS,2
DARDANELLES , VATIKA BAY,2
PRIOLO , VENICE,2
DENMARK STRAIT , Ventspils,2
DARDANELLES , Dardanelles ,2
"Venice, Italy ", AT SEA,2
Zawia , MALTA,2
BOSPHOROUS , NOVOROSSISK,2
BOSPHOROUS , TAMAN,2
Arzew , GIBRALTAR,2
MALTA , LAVERA,2
PORTO MARGHERA , TARANTO,1
GULF OF LION , La Nouvelle,1
BRINDISI , Sarroch,1
La Nouvelle , Sarroch,1
Porto Marghera , AT SEA,1
Sarroch , Porto Marghera,1
Kali Limenes , PORTO MARGHERA,1
La Nouvelle , GULF OF LION,1
AT SEA , GULF OF LION,1
MALTA OPL , MALTA (GRAND HARBOUR),1
KITHIRA ISLAND , MALTA (GRAND HARBOUR),1
NORTH IONIO , AT SEA,1
MALTA , MALTA OPL,1
AT SEA , Zadar,1
AT SEA , ASHDOD,1
ASHDOD , Kali Limenes,1
AUGUSTA , Beirut,1
Zarzis , AT SEA,1
DARDANELLES , La Goulette,1
Novorossiysk , BOSPHOROUS,1
BOSPHOROUS , Istanbul,1
PORTO MARGHERA , Skikda,1
BOZCADA , DARDANELLES,1
DARDANELLES , Lavrion,1
MALTA , Malta (Grand Harbour),1
Lavrion , Vassiliko Bay,1
VATIKA BAY , DARDANELLES,1
Zadar , VATIKA BAY,1
KARISTOS , CARISTO BAY,1
Karystos , KARISTOS,1
OPL CYPRUS  , OPL CYPRUS,1
Gebze , BOSPHOROUS,1
MALTA OPL , Malta (Grand Harbour),1
ALEXANDRIA , Limassol,1
DARDANELLES , Aliaga,1
Ventspils , DENMARK STRAIT,1
TAMAN , BOSPHOROUS,1
AUGUSTA , Las Palmas,1
HAIFA , DARDANELLES,1
ALEXANDRIA , HAIFA,1
Bosporus , Kavkaz,1
BOSPHOROUS , ISTAMBUL,1
Ravenna , SKIKDA,1
La Skhirra , Arzew,1
GIBRALTAR , ARZEW,1
BOSPHOROUS , EREGLISI,1
TARRAGONA , ARZEW,1
MILAZZO , TARRAGONA,1
RAVENNA , MILAZZO,1
PORTO MARGHERA , AT SEA,1
ISTANBUL , ISTAMBUL,1
DARDANELLES , BOZCA ADA,1
BOSPHOROUS , Novorossiysk,1
AT SEA , KALAMATA,1
DARDANELLES , Vassiliko Bay,1
VASSILIKO BAY , DARDANELLES,1
MEDITERRANEAN SEA , SARROCH,1
SARROCH , LAS PALMAS,1
Santa Panagia , PORTO MARGHERA,1
"MARGHERA, VENICE "," MARGHERA, ITALY",1
Priolo ," Venice, Italy",1
PORTO MARGHERA , OMISALJ,1
Bizerte , LA SKHIRRA,1
LA SKHIRRA , Sarroch,1
SKIKDA , Priolo,1
Sarroch , MALTA,1
AT SEA , AUGUSTA,1
Tong Yong , KIMBE,1
Santa Cruz de Tenerife , Tenerife; Santa Cruz de Teneri,1
AT SEA , BOSPHOROUS,1
Bizerte , MALTA (GRAND HARBOUR),1
EL DEKHEILA , Bizerte,1
ASHKELON , EL DEKHEILA,1
MALTA , ASHKELON,1
Jorf Lasfar , MALTA,1
ALEXANDRIA , Jorf Lasfar,1
ASPROPYRGOS , BEIRUT,1
MALTA (GRAND HARBOUR) , ASPROPYRGOS,1
LA SKHIRRA , Zawia,1
Tarragona , SARROCH,1
SARROCH , TARRAGONA,1
CARTAGENA (SPA) , TARRAGONA,1
ALGIERS , CARTAGENA (SPA),1
VATIKA BAY , ALGIERS,1
THESSALONIKI , BEIRUT,1
DARDANELLES , ALEXANDRIA,1
AT SEA , BOURGAS,1
THESSALONIKI , ASHKELON,1
Bizerte , ZARZIS,1
"Venice, Italy ", DARDANELLES,1
Midia , BOSPHOROUS,1
