LATD,LOND,VESSEL_CODE,TELEGRAM_DATE,PORT
128,34,466,2009-12-10 17:00:00,Tong Yong
150,5,466,2009-12-19 08:08:00,KIMBE
150,5,466,2009-12-26 16:00:00,KIMBE
123,9,466,2010-01-01 17:00:00,DUMAGUETE
123,9,466,2010-01-03 07:00:00,DUMAGUETE
104,1,466,2010-01-07 04:18:00,SINGAPORE
101,2,466,2010-01-07 22:48:00,SINGAPORE
32,29,466,2010-01-23 12:30:00,SUEZ
32,30,466,2010-01-24 12:00:00,SUEZ
2,41,466,2010-01-30 15:30:00,BARCELONA
2,41,466,2010-02-02 14:12:00,BARCELONA
21,38,466,2010-02-05 17:12:00,PATRAS
21,38,466,2010-02-07 09:00:00,PATRAS
12,44,466,2010-02-09 04:00:00,RAVENNA
12,44,466,2010-02-13 12:00:00,RAVENNA
25,39,466,2010-02-17 04:00:00,DARDANELLES
26,40,466,2010-02-18 05:00:00,DARDANELLES
29,41,466,2010-02-18 12:00:00,BOSPHOROUS
29,41,466,2010-02-19 05:00:00,BOSPHOROUS
37,44,466,2010-02-20 11:54:00,NOVOROSSISK
37,44,466,2010-02-24 19:00:00,NOVOROSSIYSK
29,41,466,2010-02-26 00:42:00,BOSPHOROUS
29,41,466,2010-02-26 17:24:00,BOSPHOROUS
27,40,466,2010-02-27 02:24:00,DARDANELLES
26,40,466,2010-02-27 19:00:00,DARDANELLES
32,29,466,2010-03-01 17:30:00,SUEZ
32,29,466,2010-03-06 17:00:00,SUEZ
26,40,466,2010-03-08 14:00:00,DARDANELLES
26,40,466,2010-03-09 12:00:00,DARDANELLES
29,41,466,2010-03-10 12:00:00,BOSPHOROUS
29,41,466,2010-03-11 01:00:00,BOSPHOROUS
41,42,466,2010-03-12 20:00:00,KULEVI
41,42,466,2010-03-15 15:15:00,KULEVI
29,41,466,2010-03-17 11:42:00,BOSPHOROUS
29,41,466,2010-03-17 12:00:00,BOSPHOROUS
26,40,466,2010-03-19 12:00:00,DARDANELLES
26,40,466,2010-03-19 20:30:00,DARDANELLES
12,32,466,2010-03-22 06:42:00,Zawia
12,32,466,2010-03-25 19:30:00,Zawia
0,0,466,2010-03-27 09:54:00,MALTA
0,0,466,2010-03-29 20:30:00,MALTA
5,43,466,2010-03-31 19:42:00,LAVERA
5,43,466,2010-04-03 16:30:00,LAVERA
3,6,466,2010-04-15 07:54:00,LAGOS
3,6,466,2010-05-02 15:30:00,LAGOS
7,4,466,2010-05-03 12:30:00,PORT HARCOURT
7,4,466,2010-05-11 15:30:00,PORT HARCOURT
5,5,466,2010-05-12 04:00:00,ESCRAVOS
5,5,466,2010-06-01 15:00:00,ESCRAVOS
