001;V1.19;10/2/2019 12:04:29 AM
UTC;'Richtungswinkel' [°];'Speed over gnd.' [kn];'SpeedThrWater' [kn];'Latitude' [°];'Latitude dir' [];'Latitude' [°];'Longitude dir' [];'MainEngine FlowRateHr' [kg/h];'MainEngine kg total HFO' [kg];'MainEngine kg total DFO' [kg];'MainEngine running Time' [min];'AuxEngine FlowRateHr' [kg/h];'AuxEngine kg total HFO' [kg];'AuxEngine kg total DFO' [kg];'AuxEngine running Time' [min];'Boiler FlowRateHr' [kg/h];'Boiler kg total HFO' [kg];'Boiler kg total DFO' [kg];'Boiler running Time' [min];'SHP-Speed' [rpm];'SHP-Torque' [kNm];'SP-Power' [kW];'Engine load' [%];'SP-Speed' [%];'SFOC' [g/kWh];'Propeller slip' [%];'Efficiency' [kg/nm]
10/2/2019 12:04:29 AM;12.9473333333334;6.47366666666668;12.7975;3623.98309055556;N;931.481088;W;782.986869912888;27828211.1767814;1687589.21825949;1205008.45463182;77.1568894386292;5584970.66805352;197164.896104363;1305139.83252899;0;436930.136807602;103386.890324582;703243.367142229;85.7572027972028;432.751357575758;3885.94722123295;63.7040528070975;86.6234371688918;201.570174332382;12.6203080035193;67.2131073249644
10/2/2019 12:09:29 AM;12.8113333333333;6.40566666666667;12.7236666666667;3624.95509955556;N;932.051585333335;W;784.501059586869;27828276.5534805;1687589.21825949;1205013.45753182;80.7613384723663;5584977.46410677;197164.896104363;1305144.83542899;0;436930.136807602;103386.890324582;703243.367142229;85.7868531468532;432.866918181818;3888.33199362851;63.7431474365329;86.6533870170235;201.75259926703;13.2416545642275;68.0076777300823
10/2/2019 12:14:29 AM;12.7113333333333;6.35566666666666;12.7556333333334;3625.91779988889;N;932.602086444445;W;781.739661677973;27828341.8976247;1687589.21825949;1205018.46039848;81.3225817680359;5584984.20610256;197164.896104363;1305149.83829565;0;436930.136807602;103386.890324582;703243.367142229;85.6330373831776;432.326335514018;3876.51126517284;63.5493650028335;86.4980175587654;201.633806048624;12.9353492958573;67.6573362080338
10/2/2019 12:19:29 AM;12.812;6.40600000000002;12.8794;3626.88870577778;N;933.137827222224;W;785.938939889092;27828407.2998826;1687589.21825949;1205023.46328182;83.244731426239;5584991.06072668;197164.896104363;1305154.84117899;0;436930.136807602;103386.890324582;703243.367142229;86.0163341067286;432.771420649652;3897.8688384041;63.8994891541657;86.8851859663926;201.750214464651;12.1799426994339;67.5055710054911
10/2/2019 12:24:29 AM;12.923;6.46150000000002;13.0127666666666;3627.86832388891;N;933.671367;W;791.514074754043;27828472.9488072;1687589.21825949;1205028.46616515;82.4649131298065;5584997.9471861;197164.896104363;1305159.84407898;0;436930.136807602;103386.890324582;703243.367142229;86.287656612529;433.105122505801;3913.17408709892;64.1503948704742;87.1592491035648;202.262591315511;11.3725661919769;67.1750675144329
10/2/2019 12:29:29 AM;13.069;6.53449999999999;12.7825666666667;3628.85585488889;N;934.214146222223;W;788.957846718766;27828538.8090705;1687589.21825949;1205033.46903181;80.5399489402771;5585004.97094854;197164.896104363;1305164.84692898;0;436930.136807602;103386.890324582;703243.367142229;86.0237122969838;432.731183990719;3897.83321797915;63.8989052127731;86.8926386838219;202.438747292594;13.0970256343031;68.0397764782791
10/2/2019 12:34:29 AM;13.055;6.52750000000001;12.9523333333333;3629.85706266666;N;934.758502444444;W;785.189959831531;27828604.4914276;1687589.21825949;1205038.47189848;85.9383308887482;5585011.76097649;197164.896104363;1305169.84979565;0;436930.136807602;103386.890324582;703243.367142229;86.1312558139534;432.573482325581;3901.29122034501;63.9555937761477;87.001268498943;201.34544345578;11.7141822628257;67.2568019008566
10/2/2019 12:39:29 AM;13.1146666666666;6.55733333333332;12.8946333333333;3630.85987244445;N;935.292884;W;785.689980503989;27828669.9827072;1687589.21825949;1205043.47483181;79.8295998573303;5585018.64737757;197164.896104363;1305174.85274564;0;436930.136807602;103386.890324582;703243.367142229;85.969534883721;432.277055116279;3891.30977677391;63.7919635536706;86.8379140239605;201.88401658111;11.9958334786152;67.1251985191924
10/2/2019 12:44:29 AM;13.2303333333333;6.62621035058431;12.8565551839465;3631.868813;N;935.832129444445;W;782.382959638324;27828735.2232555;1687589.21825949;1205048.47774848;82.1629428863525;5585025.33516429;197164.896104363;1305179.85564564;0;436930.136807602;103386.890324582;703243.367142229;85.9060465116279;432.321769069767;3888.80671291188;63.750929719867;86.7737843551797;201.213498510118;12.153930057558;67.2466772141361
10/2/2019 12:49:29 AM;13.4966666666667;6.74833333333333;12.8584;3632.89055766667;N;936.387789666667;W;782.779791738489;27828800.5499959;1687589.21825949;1205053.48061514;74.7907340526581;5585031.7869945;197164.896104363;1305184.85851231;0;436930.136807602;103386.890324582;703243.367142229;86.0176744186046;432.759965813954;3897.81961685503;63.8986822435251;86.8865398167724;200.759831057553;12.4230768244294;66.6946736431294
