TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE;WAVEH;WAVED;SWELLH;SWELLD
2007-03-20 09:00:00;A;B;4;32;52;11;45;6.46;119.6;315;7;14.0;21;0;28.502857142857145;0.54;0;6;315;2;315
2007-03-24 12:00:00;N;;0;0;0;0;315;10.2;116.3;315;5;14.0;3;0;24.0;0;0;5;315;2;315
2007-03-25 12:00:00;N;;4;38;49;21;0;10.2;119.7;45;5;14.08;25;0;34.367999999999995;0;0;5;45;0;45
2007-03-26 12:00:00;N;;12;44;47;0;0;10.2;119.7;315;6;13.54;24;0;28.0;0;0;6;315;2;0
2007-03-30 12:00:00;N;;37;30;40;46;225;10.2;118.1;247;7;11.79;24;0;30.5;0;0;7;270;4;225
2007-03-31 12:00:00;N;;44;11;40;16;225;10.2;119.7;270;7;12.2;25;0;30.432;0;0;6;270;4;270
2007-04-01 12:00:00;N;;50;14;40;38;292;10.2;119.7;292;7;12.21;24;0;30.5;0;0;7;292;4;315
2020-03-07 12:00:00;N;L;2;49;51;55;45;9;101.7;45;4;11.96;24;0;20.5;0;0;4;45;2;45
2020-03-07 14:00:00;A;L;3;57;51;38;45;9;105.0;45;4;13.5;2;0;21.6;0;0;4;45;2;45
2006-10-09 12:00:00;N;;117;16;10;54;225;6.83;116.5;225;4;0.0;24;0;26.320000000000004;2.14;0;3;315;2;315
2007-06-26 12:00:00;N;;4;47;59;6;315;6.75;105.7;0;7;12.39;23;0;28.17391304347826;1.5;0;7;0;0;0
2006-10-21 12:00:00;N;;100;52;2;58;315;10.86;115.0;45;3;0.0;16;30;28.40727272727273;0.52;0;2;0;1;270
2006-10-22 12:00:00;N;;96;7;6;29;270;10.81;119.8;0;3;0.0;24;0;30.5;0.42;0;3;45;1;270
2006-10-23 12:00:00;N;;0;0;0;0;270;10.75;119.8;225;3;14.45;24;0;30.52;1.16;0;3;225;3;225
2006-10-24 12:00:00;N;;85;51;5;15;270;10.91;119.7;315;4;13.7;25;0;30.403200000000002;0.14;0;5;180;3;180
2006-10-25 12:00:00;N;;79;46;5;58;315;10.785;119.8;0;5;13.42;24;0;30.570000000000004;0.35;0;5;270;2;0
