TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE
2019-07-16 12:00:00;N;L;3;1;53;24;18;9.7;67.1;45;4;9.81;24;0;8.3;0.6;0.04
2019-07-17 12:00:00;N;L;7;37;56;24;32;9.7;74.5;270;3;11.26;23;0;9.91304347826087;0.6;0.04
2019-07-17 22:50:00;A;L;10;44;57;37;90;9.575;79.8;270;3;12.3;10;50;11.076923076923077;0.55;0.04
2019-07-20 10:15:00;A;L;21;42;55;8;90;9.855;85.4;337;3;13.36;21;15;16.828235294117647;0.93;0.05
2019-07-28 12:00:00;N;B;20;3;56;32;324;5.115;89.0;67;3;14.27;0;45;16.0;2.87;0.05
2019-07-29 10:30:00;A;B;25;50;59;30;79;5.115;90.1;112;5;14.07;22;30;17.92;2.87;0.05
2019-07-29 23:40:00;A;B;28;41;59;25;104;5.11;88.4;202;2;14.03;5;10;16.258064516129032;2.84;0.05
2019-08-02 12:00:00;N;L;21;16;59;52;232;10.49;88.9;0;3;13.3;15;30;16.41290322580645;0.34;0.05
2019-08-03 12:00:00;N;L;15;36;55;13;255;10.49;89.6;337;3;13.22;25;0;17.183999999999997;0.34;0.05
2019-08-04 01:00:00;A;L;10;25;56;55;266;10.49;88.7;315;4;13.18;13;0;17.72307692307692;0.34;0.06
2019-08-05 12:00:00;N;L;4;4;58;39;297;10.49;88.9;157;4;13.5;20;0;18.0;0.34;0.06
2019-08-06 12:00:00;N;L;5;23;59;22;261;10.49;89.0;135;3;13.37;25;0;17.951999999999998;0.34;0.06
2019-08-07 12:00:00;N;L;15;3;58;7;251;10.49;88.3;22;5;13.09;24;0;17.1;0.34;0.05
2019-08-08 12:00:00;N;L;24;1;56;18;244;10.49;88.5;22;4;12.97;25;0;17.28;0.34;0.06
2019-08-09 12:00:00;N;L;32;30;53;8;238;10.49;87.4;337;5;12.97;24;0;16.9;0.34;0.05
2019-08-10 12:00:00;N;L;38;34;50;56;233;10.49;88.3;315;4;12.79;24;0;17.1;0.34;0.06
2019-08-11 12:00:00;N;L;44;27;47;37;228;10.53;87.2;202;6;11.65;25;0;17.471999999999998;0.26;0.06
2019-08-12 12:00:00;N;L;49;0;44;49;225;10.53;87.9;225;4;12.56;24;0;17.8;0.26;0.06
2019-08-13 12:00:00;N;L;55;27;41;49;237;10.66;87.5;247;5;12.25;25;0;17.616;0.02;0.06
2019-08-14 12:00:00;N;L;60;6;39;31;237;10.66;88.9;225;5;10.76;24;0;18.26;0.02;0.07
