stw,draft,foc,ws,wd,swh,vslHeading
13.0306,15.19,34.0,4.79,169.1,0.85,241.9
13.0106,15.135,33.0,3.09,189.25,0.85,242.05
13.0102,15.18,34.0,3.09,189.32,0.85,241.98
13.0102,15.195,33.0,3.39,183.22000000000003,0.85,241.98
12.9602,15.2,34.0,4.28,168.75,0.85,241.85
12.9801,15.22,33.0,5.98,169.86,0.85,241.84
13.0005,15.135,34.0,4.6,176.55,0.85,241.85
13.0302,15.16,34.0,4.6,176.48000000000005,0.85,241.92
13.0302,15.215,34.0,3.89,200.58,0.85,241.92
12.9101,15.185,34.0,6.17,174.72,0.85,242.18
12.9607,15.185,34.0,4.98,173.07,0.85,242.53
12.97,15.145,33.0,4.6,186.35,0.85,242.55
12.9002,15.14,34.0,4.6,186.8,0.85,242.1
12.9002,15.12,34.0,4.98,177.60000000000005,0.85,242.1
12.9,15.114999999999998,34.0,5.18,191.36,0.85,242.04
13.0002,15.2,33.0,3.39,177.51999999999995,0.85,242.08
12.9202,15.16,34.0,3.2,171.72,0.85,241.88
12.9608,15.16,33.0,3.2,173.1,0.85,240.5
12.9608,15.2,33.0,2.49,194.2,0.85,240.5
12.8401,15.2,33.0,2.59,168.44,0.85,238.36
12.82,15.215,34.0,3.49,174.74,0.85,238.66
12.8309,15.225,34.0,3.7,168.39,0.85,239.11
12.8421,15.135000000000002,34.0,3.7,168.23,0.85,239.27
12.8421,15.275,34.0,4.1,169.23,0.85,239.27
12.9016,15.205,34.0,6.69,175.07,0.85,239.13
12.8801,15.145,34.0,5.27,174.07,0.85,239.53
12.9009,15.17,35.0,6.27,168.75,0.85,239.85
12.9313,15.15,34.0,6.27,171.0,0.85,237.6
12.9313,15.23,33.0,5.98,167.4,0.85,237.6
12.9501,15.07,32.0,3.99,173.22,0.85,234.28
12.8504,15.07,33.0,3.58,168.06,0.85,234.64
12.9005,15.215,35.0,3.3,158.09,0.85,235.31
12.9005,15.23,34.0,3.3,158.0,0.85,235.4
12.880999999999998,15.175,35.0,4.69,167.1,0.85,235.4
12.9201,15.135,34.0,3.89,169.6,0.85,235.4
12.9201,15.165,34.0,3.49,189.8,0.85,235.2
12.9903,15.14,34.0,6.78,169.39,0.85,236.51
12.9903,15.165,35.0,6.78,169.39,0.85,236.51
12.99,15.165,35.0,6.17,167.11,0.85,237.59
12.94,15.075,34.0,7.59,166.54,0.85,237.06
12.8802,15.195,34.0,5.98,166.45,0.85,237.05
12.9709,15.195,34.0,5.98,166.42,0.85,237.08
12.9709,15.195,34.0,4.28,150.51999999999995,0.85,237.08
12.9104,15.22,34.0,3.7,162.72,0.85,236.78
12.9404,15.16,34.0,3.39,151.41,0.85,236.19
12.9319,15.17,34.0,4.47,166.54999999999995,0.85,235.55
13.0401,15.185,34.0,4.47,163.15,0.85,238.95
13.0401,15.195,36.0,4.1,154.95000000000005,0.85,238.95
13.0601,15.275,36.0,6.08,165.47,0.85,240.93
13.0601,15.145,35.0,6.78,168.71,0.85,241.19
13.0404,15.145,34.0,5.27,175.39,0.85,240.81
13.0501,15.09,34.0,5.27,175.26,0.85,240.94
13.0501,15.09,34.0,6.27,181.26,0.85,240.94
13.1,15.23,35.0,5.79,174.03,0.85,241.47
13.0004,15.15,34.0,5.59,179.24,0.85,242.06
13.0201,15.185,34.0,5.98,171.64,0.85,241.96
13.0201,15.195,34.0,5.98,171.71,0.85,241.89
12.9814,15.165,35.0,5.88,167.61,0.85,241.89
13.1204,15.170000000000002,34.0,7.49,166.97,0.85,242.93
13.1417,15.185,36.0,7.3,171.77999999999997,0.85,244.52
13.1418,15.185,34.0,6.59,172.76999999999995,0.85,244.43
13.1418,15.185,35.0,6.59,173.45999999999995,0.85,243.74
13.1107,15.185,33.0,7.59,172.56,0.85,243.74
13.1004,15.215,34.0,6.49,165.53000000000003,0.85,243.67
13.1704,15.125,35.0,6.27,163.22000000000003,0.85,243.98
13.2817,15.18,34.0,6.4,167.07999999999996,0.85,244.02
13.2817,15.115,33.0,6.4,167.4,0.85,243.7
13.2218,15.175,34.0,5.79,173.70000000000005,0.85,243.7
13.1606,15.185,34.0,7.78,162.51000000000005,0.85,243.89
13.0205,15.135,34.0,6.27,166.96,0.85,244.14
13.0906,15.165,34.0,7.17,160.16000000000003,0.85,244.04
13.0906,15.125,34.0,7.17,161.39,0.85,242.81
13.3617,15.125,33.0,6.17,169.89,0.85,242.81
13.3407,15.18,33.0,5.79,164.49,0.85,241.51
13.3003,15.23,34.0,6.69,165.45999999999995,0.85,241.74
13.4413,15.165,33.0,6.49,164.43,0.85,241.97
13.4413,15.185,34.0,6.49,164.39,0.85,242.01
13.3315,15.195,34.0,7.59,166.09,0.85,242.01
13.3305,15.23,34.0,7.78,165.69,0.85,241.91
13.3701,15.12,34.0,5.69,170.72,0.85,242.18
13.1106,15.105,34.0,5.88,160.60000000000005,0.85,242.2
13.1106,15.105,34.0,5.88,160.95999999999995,0.85,241.84
13.0408,15.14,34.0,6.08,162.56,0.85,241.84
13.1302,15.18,33.0,8.3,167.78,0.85,241.82
13.2004,15.205,34.0,8.07,164.07,0.85,242.33
13.0702,15.155,34.0,7.17,161.45,0.85,242.25
13.0702,15.2,34.0,7.17,161.95,0.85,241.75
13.0401,15.225,34.0,5.27,161.25,0.85,241.75
13.0302,15.16,34.0,6.49,156.28,0.85,241.82
13.1104,15.13,34.0,6.59,150.21,0.85,241.89
13.1102,15.175,33.0,5.18,152.20000000000005,0.85,241.7
13.1102,15.175,34.0,5.18,151.99,0.85,241.91
13.1002,15.175,34.0,6.17,171.09,0.85,241.91
13.1204,15.265,34.0,5.37,167.04,0.85,241.96
13.1401,15.155,33.0,5.5,160.68,0.85,241.92
13.1702,15.21,34.0,7.49,174.19,0.85,241.91
13.1702,15.12,33.0,7.49,173.9,0.85,242.2
13.1203,15.14,34.0,8.55,167.4,0.85,242.2
13.0308,15.095,34.0,7.17,167.99,0.85,242.51
13.1103,15.065,33.0,7.97,170.19,0.85,242.11
13.1103,15.095,34.0,7.97,170.13,0.85,242.17
13.0819,15.065,33.0,5.79,175.93,0.85,242.17
13.0609,15.16,34.0,6.78,174.47,0.85,242.43
12.9812,15.16,34.0,3.89,168.12,0.85,242.48
13.0311,15.13,33.0,6.59,170.8,0.85,242.2
13.0311,15.22,33.0,6.59,171.14,0.85,241.86
13.0206,15.165,34.0,5.98,175.64,0.85,241.86
13.0014,15.06,33.0,5.37,167.99,0.85,241.91
13.061,15.18,34.0,7.59,171.56,0.85,242.14
13.061,15.155,33.0,6.78,179.48,0.85,242.02
13.1405,15.13,34.0,6.78,179.41,0.85,242.09
13.0905,15.27,33.0,6.69,175.81,0.85,242.09
13.1401,15.14,33.0,5.59,177.08999999999997,0.85,241.11
13.1104,15.14,33.0,5.69,172.18,0.85,240.72
13.1104,15.15,34.0,3.99,187.7,0.85,240.9
13.06,15.105,33.0,3.99,187.72,0.85,240.88
13.0801,15.08,34.0,7.3,169.62,0.85,240.88
13.06,15.2,34.0,7.39,174.94,0.85,240.96
13.1302,15.2,34.0,9.07,171.95999999999995,0.85,241.24
13.1302,15.115,34.0,6.78,173.70999999999995,0.85,240.99
13.0405,15.165,34.0,6.78,173.91000000000003,0.85,240.79
12.9702,15.205,34.0,7.3,167.21,0.85,240.79
12.981,15.114999999999998,34.0,5.69,164.45,0.85,240.65
13.0206,15.114999999999998,34.0,6.08,162.5,0.85,240.5
13.0206,15.14,34.0,6.59,172.73000000000005,0.85,240.57
13.0322,15.19,34.0,6.59,173.92000000000004,0.85,239.38
12.9624,15.285,34.0,8.49,173.92000000000004,0.85,239.38
12.9014,15.22,33.0,7.39,180.35,0.85,239.65
12.9403,15.225,35.0,5.37,181.36,0.85,240.14
12.9403,15.135,34.0,6.27,189.37,0.85,239.73
12.8604,15.155,34.0,6.27,189.52,0.85,239.58
12.95,15.2,34.0,6.27,180.22,0.85,239.58
13.0201,15.18,34.0,7.17,175.19,0.85,240.21
12.9907,15.18,34.0,6.98,171.96,0.85,240.54
12.9907,15.17,34.0,7.97,171.57,0.85,240.43
12.9407,15.165,34.0,7.97,171.76,0.85,240.24
12.9807,15.13,34.0,6.88,177.86,0.85,240.24
12.941,15.155,34.0,7.68,185.88,0.85,240.22
12.9303,15.185,34.0,7.3,178.51,0.85,240.69
12.9303,15.165,34.0,7.39,178.52,0.85,240.98
12.9007,15.085,34.0,7.39,178.88,0.85,240.62
12.9007,15.19,34.0,8.75,169.28,0.85,240.62
12.9701,15.135,34.0,6.98,171.70000000000005,0.85,240.2
12.9708,15.21,34.0,5.79,176.14,0.85,240.06
12.9708,15.21,33.0,7.49,171.56,0.85,239.74
12.911,15.22,34.0,7.49,171.31,0.85,239.99
13.0,15.15,34.0,9.26,172.70999999999995,0.85,239.99
12.9201,15.155,34.0,8.36,173.61,0.85,240.39
12.92,15.145,34.0,7.39,170.23000000000005,0.85,240.57
12.92,15.19,34.0,7.59,177.69,0.85,240.01
13.0017,15.195,34.0,7.59,178.0,0.85,239.7
13.0806,15.125,33.0,6.88,175.5,0.85,239.7
13.1105,15.105,34.0,7.59,175.44,0.85,240.06
13.0204,15.155,34.0,6.49,173.45000000000005,0.85,240.45
13.0204,15.155,34.0,5.27,180.37,0.85,240.53
13.011,15.204999999999998,33.0,5.27,180.62,0.85,240.28
13.0504,15.07,34.0,6.69,170.82,0.85,240.28
13.0602,15.155,34.0,6.69,173.97000000000003,0.85,240.23
13.0602,15.135,33.0,7.88,167.01999999999995,0.85,240.08
13.0204,15.165,34.0,7.88,167.39,0.85,239.71
12.9501,15.19,33.0,7.97,167.39,0.85,239.71
12.9001,15.165,34.0,4.37,169.8,0.85,239.6
12.84,15.165,34.0,6.08,168.38,0.85,239.62
12.84,15.165,34.0,7.49,172.85,0.85,239.55
12.87,15.175,34.0,7.49,172.43,0.85,239.97
12.9802,15.185,34.0,6.59,169.13,0.85,239.97
12.8803,15.14,34.0,7.78,171.06,0.85,240.14
12.8606,15.08,34.0,6.88,175.29000000000005,0.85,240.51
12.8606,15.065,35.0,6.59,171.66,0.85,241.34
12.901,15.08,34.0,6.59,171.7,0.85,241.3
12.9805,15.11,34.0,6.59,171.89999999999995,0.85,241.3
12.92,15.2,34.0,7.78,164.96,0.85,240.94
12.92,15.145,34.0,5.98,168.99,0.85,240.91
12.92,15.145,34.0,5.98,167.58999999999997,0.85,240.71
12.9,15.215,33.0,5.98,167.77999999999997,0.85,240.52
12.9901,15.17,34.0,5.59,172.38,0.85,240.52
12.99,15.105,34.0,8.3,167.54,0.85,239.96
12.99,15.11,34.0,8.87,167.76,0.85,241.94
12.9222,15.17,35.0,6.98,170.45,0.85,242.75
12.8914,15.175,34.0,6.98,171.11,0.85,242.09
12.8209,15.175,33.0,5.98,176.31,0.85,242.09
12.8708,15.22,34.0,6.59,170.04000000000005,0.85,241.66
12.8708,15.185,34.0,6.69,171.12,0.85,241.58
12.9209,15.18,34.0,7.39,172.59,0.85,242.01
12.9108,15.18,34.0,7.39,172.32999999999996,0.85,242.27
12.9013,15.11,34.0,6.78,166.82999999999996,0.85,242.27
12.9109,15.195,34.0,7.68,163.72,0.85,242.18
12.9109,15.21,33.0,7.17,166.83999999999997,0.85,241.46
12.8503,15.195,34.0,7.07,172.76000000000005,0.85,241.64
12.9209,15.114999999999998,34.0,7.07,172.26000000000005,0.85,242.14
12.9309,15.165,34.0,6.59,165.56,0.85,242.14
12.9014,15.18,34.0,5.98,171.02,0.85,242.48
12.9014,15.135,34.0,6.49,168.33999999999997,0.85,241.96
12.921,15.135,34.0,5.88,173.89999999999995,0.85,241.8
12.9209,15.239999999999998,33.0,5.88,174.01999999999995,0.85,241.68
12.9501,15.125,34.0,7.88,176.22,0.85,241.68
12.7901,15.14,34.0,8.3,170.47,0.85,241.93
