stw,draft,foc,ws,wd,swh,vslHeading
15.8273,14.595,71.0,15.24,174.19,1.59,142.31
15.8464,14.47,70.0,16.14,171.99,1.59,142.31
15.8464,14.415,70.0,15.37,172.6,1.59,141.6
15.8558,14.49,72.0,16.08,180.23,1.59,141.77
15.9453,14.435,71.0,15.56,175.39999999999995,1.59,142.8
15.9255,14.445,70.0,15.56,175.63,1.59,142.57
15.9455,14.48,70.0,15.24,174.73000000000005,1.59,142.57
15.9455,14.435,70.0,15.18,176.01999999999995,1.59,141.88
16.0143,14.35,70.0,14.47,172.91000000000003,1.59,142.39
15.9836,14.535,70.0,15.24,171.73000000000005,1.25,142.37
15.9761,14.535,70.0,15.24,171.94000000000003,1.25,142.16
16.024,14.465,69.0,14.66,174.04,1.25,142.16
16.024,14.435,69.0,15.24,175.44,1.25,142.26
16.0232,14.355,69.0,14.47,171.39,1.25,142.21
16.0134,14.4,69.0,13.7,172.06000000000003,1.25,142.04
16.0432,14.405,69.0,13.7,171.59000000000003,1.25,142.51
16.0526,14.445,69.0,14.47,171.39,1.25,142.51
16.0526,14.355,69.0,14.66,175.08999999999997,1.25,142.61
16.0128,14.38,68.0,15.18,173.91,1.25,141.79
16.0328,14.405,69.0,14.6,172.23,1.25,142.17
16.0623,14.405,69.0,14.6,171.64,1.25,142.76
16.073,14.41,69.0,13.25,169.04000000000005,1.25,142.76
16.073,14.415,69.0,15.24,175.95000000000005,1.25,142.65
16.0724,14.415,68.0,15.18,178.61,1.25,142.29
16.0624,14.425,69.0,14.34,178.88000000000005,1.25,142.42
16.0516,14.455,69.0,14.34,178.59,1.25,142.71
16.0623,14.33,68.0,14.79,179.98999999999995,1.25,142.71
16.0623,14.41,68.0,13.57,173.92000000000004,1.25,142.38
16.0624,14.475,69.0,14.34,178.11999999999995,1.25,142.08
16.0819,14.475,69.0,13.44,170.67999999999995,1.25,142.52
16.0819,14.47,69.0,13.44,170.48999999999995,1.25,142.71
16.0721,14.375,69.0,14.47,176.89,1.25,142.71
16.1018,14.4,68.0,13.25,173.52,1.25,141.98
