<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
stw,draft,foc,ws,wd,swh,vslHeading
15.03,13.18,63.0,7.0,108.07000000000002,1.42,254.73
15.03,13.355,64.0,8.0,110.32,1.42,255.28
15.0,13.355,63.0,8.0,110.54999999999998,1.42,255.05
14.95,13.55,63.0,7.0,111.14999999999998,1.42,255.05
14.9402,13.364999999999998,64.0,7.0,107.74,1.42,254.66
14.9402,13.185,64.0,7.0,111.02,1.42,254.98
14.9402,13.485,64.0,7.0,107.48,1.42,255.12
14.9201,13.239999999999998,64.0,7.0,107.81,1.42,254.79
14.92,13.245,65.0,7.0,111.21,1.42,254.79
14.9,13.32,65.0,8.0,112.31,1.42,254.79
15.0,13.225,65.0,7.0,110.03,1.42,255.27
15.0,13.295,64.0,8.0,109.9,1.42,254.7
14.9102,13.295,64.0,8.0,109.75,1.42,254.85
14.94,13.43,65.0,7.0,114.35,1.42,254.85
14.97,13.405,64.0,8.0,111.65,1.42,255.15
14.97,13.41,63.0,8.0,106.98999999999998,1.42,255.21
15.0403,13.415,64.0,8.0,107.32,1.42,254.88
14.93,13.31,64.0,8.0,109.22,1.42,254.88
14.9801,13.21,64.0,8.0,107.03,1.42,254.77
14.9701,13.365,63.0,7.0,102.21999999999996,1.42,254.68
14.9701,13.325,63.0,7.0,98.64,1.42,254.86
14.9712,13.4,64.0,7.0,98.9,1.42,254.6
14.9303,13.4,63.0,7.0,97.00000000000004,1.42,254.6
14.8702,13.35,64.0,7.0,97.81,1.42,254.39
14.8612,13.515,63.0,7.0,97.32,1.42,254.88
14.8612,13.515,64.0,7.0,97.42000000000002,1.42,254.88
14.8503,13.33,63.0,7.0,99.75,1.42,254.45
14.8709,13.275,64.0,7.0,100.49,1.42,254.51
14.8709,13.305,65.0,7.0,95.32,1.42,255.38
14.8505,13.475,64.0,7.0,94.47999999999996,1.42,256.22
14.8001,13.25,66.0,7.0,93.1,1.42,255.9
14.931,13.67,64.0,7.0,95.14999999999998,1.42,255.75
14.931,13.315,62.0,7.0,96.76999999999998,1.42,255.43
14.9724,13.475,62.0,7.0,96.69,1.42,255.51
14.8112,13.25,63.0,7.0,95.99,1.42,255.51
14.8114,13.510000000000002,65.0,8.0,93.88,1.42,256.02
14.9008,13.37,65.0,7.0,96.69,1.42,255.81
14.9008,13.27,64.0,8.0,94.44000000000004,1.42,255.66
14.9128,13.125,64.0,8.0,93.36,1.42,256.34
14.8915,13.045,63.0,8.0,91.21999999999996,1.42,256.68
14.8915,13.4,64.0,8.0,91.27000000000004,1.42,256.53
14.8103,12.955,65.0,8.0,90.85000000000002,1.42,256.95
14.8702,12.955,65.0,8.0,92.85000000000002,1.42,256.95
14.9301,13.57,65.0,7.0,94.11,1.42,257.09
14.8501,13.27,65.0,8.0,92.13,1.42,257.27
14.8501,13.445,65.0,8.0,94.96999999999996,1.42,256.93
14.8801,13.42,65.0,8.0,94.77999999999996,1.42,257.12
14.841,13.415,65.0,8.0,93.38,1.42,257.12
14.9006,13.29,65.0,9.0,88.59999999999997,1.42,259.3
14.9207,13.21,63.0,9.0,88.02999999999996,1.42,258.97
14.9207,13.19,63.0,8.0,91.47000000000004,1.42,258.53
14.9207,13.235,63.0,11.0,91.25,1.25,258.75
15.011,13.235,62.0,11.0,90.14999999999998,1.25,258.75
14.8612,13.25,62.0,11.0,90.29000000000002,1.25,258.71
14.8206,13.19,63.0,12.0,89.18,1.25,259.02
14.8026,13.345,64.0,11.0,94.07,1.25,256.63
14.8026,13.41,64.0,11.0,93.95999999999998,1.25,256.74
14.8504,13.17,63.0,11.0,91.82000000000004,1.25,257.28
14.5409,13.23,59.0,11.0,92.98,1.41,253.42
14.8,13.295,62.0,10.0,96.59,1.41,251.91
14.8601,12.925,61.0,10.0,100.09000000000003,1.41,252.01
14.5001,13.535,64.0,14.47,96.98000000000002,1.27,254.32
14.5501,13.47,63.0,14.85,97.23,1.27,253.67
14.5501,13.28,63.0,14.85,97.42999999999998,1.27,253.47
14.5602,13.28,62.0,13.95,98.23,1.27,253.47
14.6805,13.45,61.0,14.08,99.33,1.27,253.97
14.8802,13.175,62.0,13.25,100.13,1.37,252.87
14.8002,13.12,61.0,12.47,103.08,1.37,252.52
14.5317,12.9,61.0,13.95,97.64,1.37,253.86
14.6212,13.3,61.0,14.08,100.08,1.37,252.92
14.8801,13.19,62.0,13.7,101.36,1.37,252.84
