stw,draft,foc,ws,wd,swh,vslHeading
18.8313,14.78,117.0,17.1,267.07,0.86,79.83
18.8003,14.8,119.0,17.49,254.59,0.86,86.91
18.8003,14.825,115.0,14.0,243.27000000000004,0.86,92.33
18.8801,14.795,115.0,12.0,241.51,0.0,94.09
18.8707,14.775,108.0,10.0,237.91,0.0,94.09
18.9111,14.775,112.0,11.0,238.21,0.0,96.79
18.9405,14.815,112.0,11.0,232.65,0.0,100.65
18.9405,14.78,113.0,10.0,225.47000000000003,0.0,105.13
18.971,14.805,112.0,10.0,220.78000000000003,0.0,109.82
19.0802,14.825,112.0,10.0,217.08,0.0,109.82
19.0307,14.775,111.0,10.0,213.67,0.0,113.73
19.0604,14.78,113.0,9.0,204.19,0.0,119.21
19.0604,14.81,115.0,13.05,201.37,0.0,124.63
19.0507,14.775,113.0,13.05,194.21,0.0,131.79
19.16,14.79,114.0,12.28,184.41,0.0,131.79
19.2701,14.79,115.0,11.96,177.94,0.0,139.76
19.2701,14.785,114.0,11.45,176.46,0.0,147.04
19.2701,14.79,114.0,10.48,168.57999999999996,0.0,153.62
19.4303,14.77,112.0,10.48,167.22,0.0,154.98
19.3003,14.785,108.0,7.88,160.85000000000005,0.0,156.75
19.2702,14.755,109.0,7.88,160.63000000000005,0.5,156.97
19.2701,14.755,106.0,9.39,169.42999999999995,0.5,156.97
19.1301,14.755,107.0,9.65,158.55,0.5,156.95
19.3,14.74,107.0,7.59,164.76999999999995,0.5,157.63
19.21,14.76,106.0,7.59,164.51,0.5,157.89
19.27,14.76,108.0,9.84,166.61,0.5,157.89
19.25,14.76,106.0,7.68,159.20999999999995,0.5,157.49
19.25,14.77,108.0,8.3,164.78999999999996,0.5,159.61
19.21,14.755,109.0,8.3,164.21999999999997,0.5,160.18
19.3501,14.755,106.0,7.78,161.12,0.5,160.18
19.2604,14.735,107.0,10.16,165.28,0.5,159.92
19.2403,14.760000000000002,106.0,8.3,162.61,0.5,159.79
19.2403,14.745,107.0,7.39,174.05999999999997,0.5,159.84
19.2403,14.775,107.0,7.39,173.54999999999995,0.5,160.35
19.2201,14.735,106.0,7.97,170.61,0.5,159.79
18.8722,14.78,99.0,9.2,182.98,0.5,152.72
18.8722,14.79,102.0,10.1,188.8,0.5,147.6
18.6907,14.785,104.0,10.1,187.65,0.48,148.75
18.92,14.785,112.0,9.58,189.75,0.48,148.75
19.0,14.8,109.0,9.97,189.12000000000003,0.48,149.48
19.0304,14.75,107.0,9.77,190.0,0.48,149.0
