"t_stamp","gps speed","speed log","course","vessel status","SHAFT RPM","Shaft Power","Shaft Torque","TC RPM","Scav Air","Main Engine FO Press","main engine foc","aux engines foc","aux boilers foc","ME FM flow t h","ME FM temp","ME FM density","AE IN FM flow t h","AE IN FM temp","AE IN FM density","AE OUT FM flow t h","AE OUT FM temp","AE OUT FM density","AB FM flow t h","AB FM temp","AB FM density","latitude","longitude"
"2019-02-06 08:25:00.000","0.6857142991253308","-0.4650000061839819","188.0999980545044","Under way using engines","40.65403800964356","1077.7784036908831","225.6908344162835","1948.3736907958985","0.12317085266113281","10.353080715451922","0.28793049559873696","0.17938037713368735","0.04745006561279297","0.48115330715389815","76.04442710876465","940.9097696940104","0.9986091256141663","120.68342414269081","911.3033490862165","0.8104047775268555","112.31890614827473","918.0978759765625","0.042274618055671453","73.43102550506592","947.0479968843006","0.0","0.0"
"2019-02-06 08:30:00.000","1.1062500067055225","-0.15384615069398513","190.21481465410304","Under way using engines","47.34048568725586","2123.629114282542","403.6930153205477","2920.9429595947267","0.28000307083129883","9.701128142220634","0.5969456109133634","0.13037335872650146","0.15107059478759766","0.7318386381322687","76.6725748235529","940.5473564995659","0.9178618066939799","118.72303771972656","912.6369303385417","0.8115345888924498","111.66857147216797","918.4088570731027","0.15107059478759766","74.85617100108753","946.5693823242187","0.0","0.0"
"2019-02-06 08:35:00.000","3.1428571173122952","2.589999997615814","84.94482816498855","Under way using engines","57.925576891217915","3184.8158935546876","521.9757385253906","4627.166840651939","0.22943460941314697","9.152795944213867","0.781451059712304","0.1613045090152113","0.16562747582793236","0.9118244184388055","79.0062403678894","939.6484123678769","0.8765274683194997","117.62034437391493","913.3831481933594","0.7971415442144882","110.52748107910156","919.2267020089286","0.16562747582793236","77.80722490946452","945.0356015805845","0.0","0.0"
"2019-02-06 08:40:00.000","4.754545450210571","5.156249985098839","178.3206902865706","Under way using engines","65.39150803664634","4386.745479189116","621.9253458658854","6426.052197265625","0.5802853107452393","8.433048873112119","1.0625895474638258","0.1687946319580078","0.047193831950426104","1.1905553976694743","81.0837796529134","937.9400736490885","0.8351931299450196","116.84178466796875","914.0695495605469","0.790401041507721","109.90724563598633","919.7627389090402","0.04549770305554072","73.94759192833534","947.1345847800926","0.0","0.0"
"2019-02-06 08:45:00.000","8.572727463462137","8.005882487577551","194.08709667574973","Under way using engines","74.83746416815396","5285.22294921875","671.6472920735677","7854.164322916667","0.7152208685874939","8.060425725476495","1.1201445683836937","0.34610670114386044","0.19132690131664276","1.2889392003417015","82.77430378306995","936.2749992819394","0.7938587915705395","115.71393161349826","914.8433634440104","0.5016272987623374","109.12629917689732","920.3929007393973","0.19132690131664276","79.19059392025596","944.1795438878677","0.0","0.0"
"2019-02-06 08:50:00.000","10.441666762034098","9.568421112863641","194.1541659037272","Under way using engines","76.62030002988618","5103.140120442708","633.3555236816406","7621.332112630208","0.6981918017069498","8.184154646737236","1.0511112411816914","0.461869578056529","0.11260013530651729","1.2200068632761638","83.88414655412946","935.4109825721154","0.7525244531960594","117.39448070526123","913.8872756958008","0.31309371844522416","108.43143208821614","920.6910095214844","0.11260013530651729","79.384615464644","944.5797698974609","0.0","0.0"
"2019-02-06 08:55:00.000","10.819999885559081","10.82608699798584","188.33333384195964","Under way using engines","79.74649454752604","5273.503206380208","628.6708902994792","7769.690511067708","0.7687190175056458","8.246764914194744","1.0812848616730084","0.27238080898920697","0.06730773970484734","1.2526963114738465","84.24677734375","935.077867296007","0.767651359240214","117.74281883239746","913.6643395057091","0.4160831496119499","108.7421464920044","920.6095428466797","0.06730773970484734","76.01735743769893","945.9624877929688","0.0","0.0"
"2019-02-06 09:00:00.000","10.75","11.064705848693848","181.19310155408135","Under way using engines","82.92906794054755","6137.953857421875","703.3945170084636","8626.3421875","0.8845883756875992","8.090032259623209","1.2888152392014214","0.11874163150787354","0.2014823853969574","1.4146113965822302","84.82445308140346","934.8991030738467","0.7723869681358337","118.20432444981166","913.4678209092882","0.6536453366279602","108.31014060974121","920.9639526367188","0.2014823853969574","81.13225631713867","942.8478317260742","0.0","0.0"
"2019-02-06 09:05:00.000","10.266666571299234","11.476190430777413","186.23793135018184","Under way using engines","83.44752426147461","6270.76201171875","714.8077779134114","8738.984342447917","0.9983062744140625","7.990274969736735","1.323992983861403","0.11874163150787354","0.07393112313002348","1.4436723535711116","85.48266143798828","934.2830533114346","0.7723869681358337","119.20519197904147","912.944775390625","0.6536453366279602","108.15658060709636","921.0928344726562","0.07393112313002348","79.77275726318359","944.2389119466146","0.0","0.0"
"2019-02-06 09:10:00.000","9.866666475931803","11.504347884136697","198.9310355350889","Under way using engines","83.80807062784831","6229.300537109375","706.6720804850261","8744.497688802083","0.953109085559845","8.507841241770777","1.296438259737832","0.11874163150787354","0.08858413621783257","1.4249664885657174","85.81207275390625","934.073974609375","0.7723869681358337","119.23882802327473","913.3324279785156","0.6536453366279602","107.30063805213341","922.1835616262335","0.08858413621783257","78.58724113132642","944.8279709588913","0.0","0.0"
