FOC_pred,FOC_act,stw,draft,windMperS
52.503698410380764,0,14.89,12.4,4.76
39.63550241961738,0,13.51,12.4,4.76
40.47894528965688,0,13.73,12.4,4.76
43.14076404871989,0,13.82,12.4,4.76
45.35,0,14.2,12.4,6.67
45.35,0,14.2,12.4,6.67
45.35,0,14.2,12.4,6.67
45.94410121528006,0,14.21,12.4,5.9
46.589413283314336,0,14.17,12.4,5.9
46.81637705385286,0,14.17,12.4,6.1
46.81637705385286,0,14.17,12.4,6.1
45.59307631589096,0,14.17,12.4,4.68
45.59307631589096,0,14.17,12.4,4.68
47.845986833067094,0,14.31,12.4,3.69
43.40717184503053,0,14.13,12.4,3.69
43.32438041714171,0,14.12,12.4,3.69
44.90369925558313,0,14.12,12.4,3.33
44.90369925558313,0,14.12,12.4,3.33
43.98,0,14.2,12.4,0.86
42.36,0,14.2,12.4,0.19
41.62,0,13.8,12.4,2.04
41.31503658449953,0,13.7,12.4,2.04
40.4150866921219,0,13.61,12.4,1.31
40.4150866921219,0,13.61,12.4,1.31
40.4150866921219,0,13.61,12.4,1.31
42.348013189777646,0,13.79,12.4,3.09
42.348013189777646,0,13.79,12.4,3.09
42.348013189777646,0,13.79,12.4,3.09
42.16801318977764,0,13.79,12.4,3.19
46.51048039232782,0,14.18,12.4,3.72
46.51048039232782,0,14.18,12.4,3.72
51.106241919214966,0,14.27,12.4,8.12
42.29445265326418,0,13.7,12.4,4.83
