FOC_pred,FOC_act,stw,draft,windMperS
45.52675766682315,0,14.19,12.78,4.04
44.97005829991282,0,14.13,12.78,4.04
45.21239684067133,0,14.13,12.78,4.68
45.21239684067133,0,14.13,12.78,4.68
45.21239684067133,0,14.13,12.78,4.68
45.93767079773323,0,14.13,12.78,7.26
45.418864548823024,0,14.13,12.78,7.26
45.735681899269004,0,14.16,12.78,3.48
45.001863714036624,0,14.16,12.78,3.7
50.972895793374036,0,14.13,12.78,11.51
51.615831209677424,0,14.13,12.78,11.51
50.972895793374036,0,14.13,12.78,13.69
50.972895793374036,0,14.13,12.78,13.69
46.949386450271625,0,14.16,12.78,9.16
44.668417379752945,0,13.9,12.78,8.2
43.78777044336507,0,13.65,12.78,8.2
44.510106414097464,0,13.69,12.78,8.2
43.368186875044394,0,13.68,12.78,8.2
44.455766649143996,0,13.68,12.78,8.78
43.98387170561909,0,13.68,12.78,7.92
43.96013375097678,0,13.65,12.78,7.92
43.96013375097678,0,13.65,12.78,7.92
51.48496368318693,0,14.14,12.78,8.4
50.804053127892175,0,14.14,12.78,9.75
50.804053127892175,0,14.14,12.78,9.75
50.804053127892175,0,14.14,12.78,8.68
50.804053127892175,0,14.14,12.78,10.03
50.804053127892175,0,14.14,12.78,10.03
50.804053127892175,0,14.14,12.78,9.54
50.804053127892175,0,14.14,12.78,9.54
42.23326253596292,0,13.65,12.78,10.55
42.02065395077076,0,13.69,12.78,10.27
42.02065395077076,0,13.69,12.78,10.27
50.338199014821285,0,14.18,12.78,11.79
49.896470536516674,0,14.14,12.78,11.52
49.896470536516674,0,14.14,12.78,11.52
49.896470536516674,0,14.14,12.78,11.52
46.792465007575174,0,13.17,12.78,10.88
46.792465007575174,0,13.17,12.78,10.88
46.792465007575174,0,13.17,12.78,10.88
43.482825120320385,0,13.65,12.78,7.43
43.482825120320385,0,13.65,12.78,7.43
43.482825120320385,0,13.65,12.78,7.43
47.03282831533768,0,14.14,12.78,6.26
43.355467633639975,0,13.69,12.78,7.76
43.355467633639975,0,13.69,12.78,7.76
43.355467633639975,0,13.69,12.78,7.76
