FOC_pred,FOC_act,stw,draft,windMperS
133.47,0,20.81,12.46,5.83
133.43215530093818,0,20.79,12.46,5.83
133.35114610896318,0,20.79,12.46,5.6
133.1891277250132,0,20.79,12.46,4.11
131.4759967214547,0,20.38,12.46,3.61
133.03761393705076,0,20.79,12.46,5.97
133.03761393705076,0,20.79,12.46,5.97
133,0,20.8,12.46,5.97
133.34,0,20.8,12.46,2.91
133.43,0,20.8,12.46,2.91
128.00751006363421,0,19.84,12.46,6.14
126.9675640196516,0,19.72,12.46,7.53
127.9,0,19.8,12.46,7.53
127.72037141649774,0,19.78,12.46,7.53
128.46217575797112,0,19.85,12.46,7.72
128.47217575797112,0,19.85,12.46,6.33
133.46,0,20.91,12.46,6.49
133.46,0,20.91,12.46,6.49
133.47,0,20.91,12.46,6.98
133.3123295774341,0,20.78,12.46,5.85
133.3123295774341,0,20.78,12.46,5.85
131.95874415112274,0,20.31,12.46,10.24
131.95874415112274,0,20.31,12.46,10.24
133.67135759311697,0,20.66,12.46,9.32
133.67135759311697,0,20.66,12.46,10.44
133.67135759311697,0,20.66,12.46,8.49
133.47535569779384,0,20.78,12.46,6.97
134.07132087064755,0,20.78,12.46,8.42
136.50408578741016,0,20.78,12.46,8.11
136.50408578741016,0,20.78,12.46,8.11
134.1106415129757,0,20.79,12.46,8.78
134.1106415129757,0,20.79,12.46,8.78
134.1106415129757,0,20.79,12.46,8.78
133.220312163861,0,20.78,12.46,6.06
133.220312163861,0,20.78,12.46,6.06
132.61417285527585,0,20.78,12.46,5.87
132.61417285527585,0,20.78,12.46,6.28
