STARTING PORT,DESTINATION PORT,COUNT
DARDANELLES , BOSPHOROUS,24
BOSPHOROUS , DARDANELLES,15
ISTANBUL , BOSPHOROUS,12
BOSPHOROUS , NOVOROSSIYSK,9
NOVOROSSIYSK , BOSPHOROUS,8
TUAPSE , BOSPHOROUS,7
BOSPHOROUS , TUAPSE,7
DARDANELLES , Dardanelles ,6
BOSPHOROUS , ISTANBUL,5
DARDANELLES , Dardanelles ,5
DARDANELLES , AT SEA,4
Istanbul , BOSPHOROUS,4
DARDANELLES , DARDANALLES,4
Vitino , MURMANSK,3
DARDANELLES , BOZCAADA,3
DARDANELLES , ALIAGA,3
ALIAGA , DARDANELLES,3
AT SEA , BOSPHOROUS,3
Dardanelles , N bound ,3
MERSIN , DARDANELLES,3
BOZCAADA , DARDANELLES,3
MALTA , DARDANELLES,2
ASHKELON , MERSIN,2
DARDANELLES , LIMASSOL,2
Novorossiysk , BOSPHOROUS,2
PIRAEUS , DARDANELLES,2
Dardanelles , S bound ,2
BOSPHOROUS , Bosporus ,2
BOSPHOROUS , Tuapse,2
AT SEA , Sarroch,2
"Haifa, Israel ", HAIFA,2
Agioi Theodoroi , DARDANELLES,2
BOURGAS , BOSPHOROUS,2
Istanbul Anchorage , BOSPHOROUS,2
MERSIN , HAIFA,2
HAIFA , MERSIN,2
Agioi Theodoroi , ALIAGA,2
DARDANELLES , Bozcaada,2
TEESPORT , MURMANSK,2
AUGUSTA , ARZEW,2
MURMANSK , ROTTERDAM,2
Tutuncifilik , BOSPHOROUS,2
MURMANSK , TEESPORT,2
Santa Panagia , Algiers,1
VASSILIKO BAY , ASHKELON,1
Bozcaada , DARDANELLES,1
BOSPHOROUS , Bosphoros,1
HAIFA , RHODES,1
Dardanales , DARDANELLES,1
AT SEA , Santa Panagia,1
MERSIN , VASSILIKO BAY,1
Porto Marghera , AT SEA,1
Malta (Grand Harbour) , Bilbao,1
Algiers , Santa Panagia,1
ORMOS KARYSTOU , KARISTOS,1
DARDANELLES , KARISTOS,1
