TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE;WAVEH;WAVED;SWELLH;SWELLD
2020-03-11 12:00:00;N;L;13;11;44;26;315;8.84;105.0;315;3;12.63;24;0;20.0;0;0;2;315;0;0
2020-03-15 12:00:00;N;B;17;8;41;38;135;6.75;105.0;0;3;13.46;24;0;18.0;1.5;0;2;0;0;0
2020-03-08 12:00:00;N;L;9;1;38;13;67;8.84;105.0;315;6;11.75;24;0;21.2;0;0;5;315;2;315
2020-01-29 12:00:00;N;L;5;42;48;41;315;9.05;105.0;315;7;9.28;25;0;22.176000000000002;0;0;6;315;3;315
2020-01-30 05:00:00;A;L;2;27;50;14;45;9.05;100.0;45;5;12.35;17;0;14.117647058823529;0;0;4;45;2;45
2010-09-06 08:00:00;A;B;29;8;41;4;0;0;0.0;0;0;0.0;6;12;0.0;0;0;0;0;0;0
2020-02-09 12:00:00;N;L;3;55;49;4;225;0;105.0;225;9;8.05;12;48;21.99375;0;0;8;225;6;225
2010-01-30 15:30:00;A;L;2;21;41;10;315;11;113.3;225;4;0.0;3;30;27.97714285714286;0;0;3;225;3;225
2010-01-09 12:00:00;N;L;97;25;5;33;315;11;112.05;315;0;0.0;21;0;26.514285714285712;0.7;0;0;0;0;315
2010-01-10 12:00:00;N;L;91;4;6;54;270;10.475;112.7;22;3;0.0;25;0;28.0896;-0.35;0;2;22;2;22
2010-01-05 12:00:00;N;L;112;20;5;44;225;11;105.24;45;4;0.0;24;0;22.49;0;0;3;45;3;45
2009-12-30 12:00:00;N;L;133;23;5;25;292;10.6;114.0;292;5;0.0;24;0;28.44;0;0;4;292;4;292
2009-12-31 12:00:00;N;L;128;36;8;33;292;10.6;110.0;0;4;0.0;25;0;27.84;0;0;3;0;3;0
2009-12-17 12:00:00;N;B;145;16;3;36;135;6.875;114.1;0;3;0.0;23;0;28.17391304347826;2.15;0;3;22;3;22
2010-01-12 12:00:00;N;L;80;48;5;50;270;10.475;109.38;22;3;0.0;25;0;26.7168;-0.35;0;2;22;2;22
2010-01-13 12:00:00;N;L;75;5;7;37;270;10.45;113.94;45;3;0.0;24;0;28.98;-0.4;0;2;45;2;45
2010-01-06 12:00:00;N;L;108;59;2;4;225;11;112.93;45;3;0.0;24;0;26.26;0;0;2;45;2;45
2010-01-30 12:00:00;N;L;3;54;40;12;315;10.425;115.0;292;6;0.0;24;0;29.179999999999996;-0.45;0;5;315;5;315
