,0
Score for A without memory,69.21836515089825
Score for B without memory,0.4492313128242774
Score for A with selective memory 776,0.7311974472995169
Score for B with selective memory 776,0.472841073886553
Score for A with  full memory,0.6138839901245592
Score for B with  full memory,0.47293676660502876
Score for A without memory,69.21836515089825
Score for B without memory,0.4492313128242774
Score for A with selective memory 776,0.6370420244124678
Score for B with selective memory 776,0.47162973707355044
Score for A with  full memory,0.6138839901245592
Score for B with  full memory,0.47293676660502876
Score for A without memory,69.21836515089825
Score for B without memory,0.4492313128242774
Score for A with selective memory 776,0.6129976376059033
Score for B with selective memory 776,0.47423016428194376
Score for A with  full memory,0.6138839901245592
Score for B with  full memory,0.47293676660502876
Score for A without memory,69.21836515089825
Score for B without memory,0.4492313128242774
Score for A with selective memory 776,0.6388653283854531
Score for B with selective memory 776,0.46819547403115713
Score for A with  full memory,0.6138839901245592
Score for B with  full memory,0.47293676660502876
Score for A without memory,69.21836515089825
Score for B without memory,0.4492313128242774
Score for A with selective memory 776,0.6392284599522581
Score for B with selective memory 776,0.47143409451887014
Score for A with  full memory,0.6138839901245592
Score for B with  full memory,0.47293676660502876
